#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Fri Nov 28 17:59:17 2025
# Process ID: 2937681
# Current directory: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.log
# Journal file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.jou
# Running On: eceubuntu2, OS: Linux, CPU Frequency: 2695.572 MHz, CPU Physical cores: 10, Host memory: 99797 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 01000254 0 00 00000000
[W] 01000254 1 04 00000003
[W] 01000258 0 00 00000000
[W] 01000258 1 05 00000002
[W] 0100025c 0 00 00000000
[W] 0100025c 0 00 0100023c
[W] 01000260 0 00 00000000
[W] 01000260 1 1d 0000001a
[W] 01000264 0 00 00000000
[W] 01000264 1 03 00000016
[W] 01000268 0 00 00000000
[W] 01000268 0 00 010004e0
[W] 0100026c 0 00 00000000
[W] 01000270 1 00 00000000
[W] 01000270 0 00 00000000
[W] 01000270 1 01 0000000d
[W] 01000274 0 00 00000000
[W] 01000274 1 02 0000000b
[W] 01000278 0 00 00000000
[W] 01000278 1 1e 0000001a
[W] 0100027c 0 00 00000000
[W] 0100027c 1 04 00000004
[W] 01000280 0 00 00000000
[W] 01000280 1 05 00000002
[W] 01000284 0 00 00000000
[W] 01000284 0 00 01000270
[W] 01000288 0 00 00000000
[W] 0100028c 1 00 00000000
[W] 0100028c 0 00 00000000
[W] 0100028c 1 03 00000017
[W] 01000290 0 00 00000000
[W] 01000290 0 00 010004e0
[W] 01000294 0 00 00000000
[W] 01000294 1 04 00000000
[W] 01000298 0 00 00000000
[W] 01000298 1 01 0000000e
[W] 0100029c 0 00 00000000
[W] 0100029c 1 02 0000000b
[W] 010002a0 0 00 00000000
[W] 010002a0 1 00 00000000
[W] 010002a4 0 00 00000000
[W] 010002a4 1 1e 00000019
[W] 010002a8 0 00 00000000
[W] 010002a8 1 04 00000001
[W] 010002ac 0 00 00000000
[W] 010002ac 1 05 00000002
[W] 010002b0 0 00 00000000
[W] 010002b0 0 00 01000298
[W] 010002b4 0 00 00000000
[W] 010002b8 1 00 00000000
[W] 010002b8 0 00 00000000
[W] 010002b8 1 03 00000018
[W] 010002bc 0 00 00000000
[W] 010002bc 0 00 010004e0
[W] 010002c0 0 00 00000000
[W] 010002c4 1 00 00000000
